percentile,portfolio_var_usd,sum_county_var_usd,weak_portfolio_var_usd
50,32639565522.03759,24504737920.925156,187782357355.41968
95,62311589683.57724,98025232813.13185,299651382041.9521
99,82908988937.39856,159347841711.36954,384389252245.8026
